Date,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,kasus_harian,kasus_aktif,total_kasus,Sembuh,sembuh_baru,Meninggal,meninggal_baru,tingkat_kesembuhan,tingkat_kematian,dosis_pertama,dosis_kedua
2021-03-08,7.0,200.0,591.0,62.0,40.0,167.0,1783.0,6.0,1739.0,871.0,328.0,0.0,142.0,70.0,160.0,40.0,17.0,2.0,65.0,8.0,1.0,94.0,9.0,79.0,26.0,53.0,64.0,17.0,15.0,12.0,89.0,3.0,134.0,0.0,6894.0,145628.0,1386556.0,1203381.0,8725.0,37547.0,281.0,0.8678921010042148,0.027079324599944034,3098025.0,1158432.0
2021-03-09,26.0,256.0,100.0,49.0,8.0,176.0,867.0,20.0,1787.0,898.0,391.0,50.0,260.0,133.0,126.0,75.0,3.0,11.0,32.0,83.0,10.0,98.0,13.0,92.0,55.0,60.0,109.0,33.0,9.0,57.0,360.0,6.0,136.0,0.0,6389.0,144311.0,1392945.0,1210877.0,7496.0,37757.0,210.0,0.8692927574311979,0.027105879988082802,3337026.0,1197772.0
2021-03-10,0.0,254.0,138.0,22.0,9.0,178.0,1040.0,18.0,1570.0,304.0,399.0,43.0,296.0,94.0,112.0,34.0,14.0,25.0,63.0,101.0,23.0,90.0,5.0,220.0,39.0,58.0,107.0,35.0,3.0,30.0,181.0,0.0,114.0,14.0,5633.0,144213.0,1398578.0,1216433.0,5556.0,37932.0,175.0,0.8697641461541652,0.027121833748278607,3574698.0,1262878.0
2021-03-11,19.0,156.0,49.0,54.0,11.0,128.0,1754.0,9.0,781.0,251.0,341.0,42.0,438.0,47.0,196.0,46.0,18.0,0.0,37.0,87.0,3.0,92.0,14.0,108.0,33.0,46.0,111.0,0.0,9.0,37.0,153.0,8.0,66.0,0.0,5144.0,141070.0,1403722.0,1224603.0,8170.0,38049.0,117.0,0.8723970985707996,0.027105794452177853,3696059.0,1295615.0
2021-03-12,6.0,197.0,484.0,63.0,27.0,203.0,1873.0,29.0,1357.0,497.0,341.0,23.0,206.0,62.0,199.0,137.0,3.0,1.0,33.0,57.0,2.0,83.0,0.0,133.0,47.0,42.0,58.0,1.0,10.0,28.0,55.0,4.0,128.0,23.0,6412.0,140451.0,1410134.0,1231454.0,6851.0,38229.0,180.0,0.873288637817399,0.0271101895280874,3769174.0,1339362.0
2021-03-13,14.0,158.0,247.0,68.0,3.0,188.0,1034.0,21.0,925.0,192.0,346.0,84.0,264.0,97.0,197.0,2.0,4.0,20.0,43.0,68.0,24.0,91.0,2.0,89.0,12.0,43.0,66.0,12.0,0.0,45.0,47.0,9.0,141.0,51.0,4607.0,138942.0,1414741.0,1237470.0,6016.0,38329.0,100.0,0.8746972060610387,0.027092591506148476,3985596.0,1454836.0
2021-03-14,5.0,0.0,315.0,86.0,20.0,90.0,1204.0,0.0,1133.0,144.0,278.0,97.0,206.0,125.0,204.0,32.0,27.0,69.0,20.0,93.0,14.0,88.0,3.0,67.0,40.0,48.0,169.0,13.0,22.0,37.0,32.0,3.0,23.0,7.0,4714.0,137912.0,1419455.0,1243117.0,5647.0,38426.0,97.0,0.8757706302771134,0.02707095328840999,4020124.0,1460222.0
2021-03-15,0.0,100.0,290.0,49.0,9.0,140.0,1555.0,5.0,1334.0,700.0,257.0,0.0,205.0,125.0,175.0,45.0,4.0,42.0,57.0,22.0,4.0,102.0,3.0,54.0,30.0,47.0,69.0,20.0,4.0,8.0,45.0,3.0,83.0,3.0,5589.0,136524.0,1425044.0,1249947.0,6830.0,38573.0,147.0,0.8771287062013524,0.027067936147936483,4166862.0,1572786.0
2021-03-16,10.0,77.0,247.0,91.0,15.0,170.0,835.0,36.0,1617.0,560.0,291.0,82.0,244.0,83.0,191.0,37.0,2.0,1.0,55.0,55.0,0.0,79.0,7.0,117.0,24.0,43.0,117.0,27.0,6.0,27.0,70.0,2.0,193.0,3.0,5414.0,134042.0,1430458.0,1257663.0,7716.0,38753.0,180.0,0.879203024485864,0.02709132319858395,4468951.0,1716749.0
2021-03-17,6.0,227.0,861.0,50.0,35.0,270.0,1330.0,25.0,1347.0,647.0,321.0,79.0,240.0,153.0,158.0,69.0,37.0,34.0,45.0,135.0,9.0,88.0,12.0,139.0,25.0,41.0,82.0,9.0,4.0,43.0,65.0,3.0,220.0,16.0,6825.0,131695.0,1437283.0,1266673.0,9010.0,38915.0,162.0,0.8812968635961046,0.02707539155475992,4705248.0,1876140.0
